Date,Open,Close,High,Low,Volume,Supply,Exchange
4-Mar-22,$10.20 ,$10.20 ,$10.20 ,$10.20 ,$0.00 ,"7,023,964",INX Securities
5-Mar-22,$10.20 ,$10.20 ,$10.20 ,$10.20 ,$0.00 ,"7,023,964",INX Securities
6-Mar-22,$10.20 ,$10.20 ,$10.20 ,$10.20 ,$0.00 ,"7,023,964",INX Securities
7-Mar-22,$10.20 ,$10.20 ,$10.20 ,$10.20 ,$0.00 ,"7,023,964",INX Securities
8-Mar-22,$10.20 ,$10.20 ,$10.20 ,$10.20 ,$0.00 ,"7,023,964",INX Securities
9-Mar-22,$10.20 ,$11.00 ,$11.00 ,$10.20 ,"$5,268.00 ","7,023,964",INX Securities
10-Mar-22,$11.00 ,$11.00 ,$11.00 ,$11.00 ,$0.00 ,"7,023,964",INX Securities
11-Mar-22,$11.00 ,$11.00 ,$11.00 ,$11.00 ,$0.00 ,"7,023,964",INX Securities
12-Mar-22,$11.00 ,$11.00 ,$11.00 ,$11.00 ,$0.00 ,"7,023,964",INX Securities
13-Mar-22,$11.00 ,$11.00 ,$11.00 ,$11.00 ,$0.00 ,"7,023,964",INX Securities
14-Mar-22,$11.00 ,$11.00 ,$11.00 ,$11.00 ,$0.00 ,"7,023,964",INX Securities
15-Mar-22,$11.00 ,$11.00 ,$11.00 ,$11.00 ,$0.00 ,"7,023,964",INX Securities
16-Mar-22,$11.00 ,$11.00 ,$11.00 ,$11.00 ,$0.00 ,"7,023,964",INX Securities
17-Mar-22,$11.00 ,$15.00 ,$15.00 ,$11.00 ,"$3,129.89 ","7,023,964",INX Securities
18-Mar-22,$15.00 ,$15.00 ,$15.00 ,$15.00 ,$0.00 ,"7,023,964",INX Securities
19-Mar-22,$15.00 ,$15.00 ,$15.00 ,$15.00 ,$0.00 ,"7,023,964",INX Securities
20-Mar-22,$15.00 ,$15.00 ,$15.00 ,$15.00 ,$0.00 ,"7,023,964",INX Securities
21-Mar-22,$15.00 ,$15.00 ,$15.00 ,$15.00 ,$0.00 ,"7,023,964",INX Securities
22-Mar-22,$15.00 ,$15.00 ,$15.00 ,$15.00 ,$0.00 ,"7,023,964",INX Securities
23-Mar-22,$15.00 ,$15.00 ,$15.00 ,$15.00 ,$0.00 ,"7,023,964",INX Securities
24-Mar-22,$15.00 ,$15.00 ,$15.00 ,$15.00 ,$0.00 ,"7,023,964",INX Securities
25-Mar-22,$15.00 ,$15.00 ,$15.00 ,$15.00 ,$0.00 ,"7,023,964",INX Securities
26-Mar-22,$15.00 ,$15.00 ,$15.00 ,$15.00 ,$0.00 ,"7,023,964",INX Securities
27-Mar-22,$15.00 ,$15.00 ,$15.00 ,$15.00 ,$0.00 ,"7,023,964",INX Securities
28-Mar-22,$15.00 ,$15.00 ,$15.00 ,$15.00 ,$0.00 ,"7,023,964",INX Securities
