Date,Open,Close,High,Low,Volume,MarketCap,Supply,Exchange
"Mar 14, 2022",$14.00,$14.00,$14.00,$14.00,$0.00,"$98,335,496.00","7,023,964",Securitize Markets
"Mar 15, 2022",$14.00,$14.00,$14.00,$14.00,$0.00,"$98,335,496.00","7,023,964",Securitize Markets
"Mar 16, 2022",$14.00,$14.75,$14.75,$14.00,"$30,547.25","$103,603,469.00","7,023,964",Securitize Markets
"Mar 17, 2022",$14.75,$13.75,$14.75,$13.75,"$2,750.00","$96,579,505.00","7,023,964",Securitize Markets
"Mar 18, 2022",$13.75,$13.75,$13.75,$13.75,$0.00,"$96,579,505.00","7,023,964",Securitize Markets
"Mar 19, 2022",$13.75,$13.75,$13.75,$13.75,$0.00,"$96,579,505.00","7,023,964",Securitize Markets
"Mar 20, 2022",$13.75,$13.75,$13.75,$13.75,$0.00,"$96,579,505.00","7,023,964",Securitize Markets
"Mar 21, 2022",$13.75,$12.95,$13.75,$12.95,"$10,761.45","$90,960,333.80","7,023,964",Securitize Markets
"Mar 22, 2022",$12.95,$12.95,$12.95,$12.95,$0.00,"$90,960,333.80","7,023,964",Securitize Markets
"Mar 23, 2022",$12.95,$12.95,$12.95,$12.95,$0.00,"$90,960,333.80","7,023,964",Securitize Markets
"Mar 24, 2022",$12.95,$12.85,$12.95,$12.85,"$15,047.35","$90,257,937.40","7,023,964",Securitize Markets
"Mar 25, 2022",$12.85,$12.85,$12.85,$12.85,$0.00,"$90,257,937.40","7,023,964",Securitize Markets
"Mar 26, 2022",$12.85,$12.85,$12.85,$12.85,$0.00,"$90,257,937.40","7,023,964",Securitize Markets
"Mar 27, 2022",$12.85,$12.85,$12.85,$12.85,$0.00,"$90,257,937.40","7,023,964",Securitize Markets
"Mar 28, 2022",$12.85,$12.85,$12.85,$12.85,"$1,285.00","$90,257,937.40","7,023,964",Securitize Markets
"Mar 29, 2022",$12.85,$9.00,$12.85,$9.00,"$13,770.00","$63,215,676.00","7,023,964",Securitize Markets
"Mar 30, 2022",$9.00,$12.80,$12.80,$9.00,"$6,528.00","$89,906,739.20","7,023,964",Securitize Markets
"Mar 31, 2022",$12.80,$12.75,$12.80,$12.75,$12.75,"$89,555,541.00","7,023,964",Securitize Markets
"Apr 1, 2022",$12.75,$12.75,$12.75,$12.75,$0.00,"$89,555,541.00","7,023,964",Securitize Markets
"Apr 2, 2022",$12.75,$12.75,$12.75,$12.75,$0.00,"$89,555,541.00","7,023,964",Securitize Markets
"Apr 3, 2022",$12.75,$12.75,$12.75,$12.75,$0.00,"$89,555,541.00","7,023,964",Securitize Markets
"Apr 4, 2022",$12.75,$10.99,$12.75,$10.99,"$5,516.98","$77,193,364.36","7,023,964",Securitize Markets
"Apr 5, 2022",$10.99,$10.99,$10.99,$10.99,$0.00,"$77,193,364.36","7,023,964",Securitize Markets
"Apr 6, 2022",$10.99,$9.00,$10.99,$9.00,"$37,017.00","$63,215,676.00","7,023,964",Securitize Markets
"Apr 7, 2022",$9.00,$10.98,$10.98,$9.00,$142.74,"$77,123,124.72","7,023,964",Securitize Markets
"Apr 8, 2022",$10.98,$10.98,$10.98,$10.98,$0.00,"$77,123,124.72","7,023,964",Securitize Markets
